s,q,pixels,ang_width,num_r,num_theta,y_plus,y_minus
0.5,1e-05,4651,0.0008266666666666667,1730804,432701,1.0003069314320339,0.999693162745964
0.5,3e-05,4651,0.0024800000000000004,1730804,432701,1.000921076830015,0.9990797707718052
0.5,0.0001,4651,0.008266666666666667,1730796,432699,1.0030735523192629,0.9969358654585636
0.5,0.0003,4651,0.024799999999999996,1730728,432682,1.0092489094930506,0.9908358489109528
0.5,0.001,4650,0.08266666666666667,1729616,432404,1.0311592134869763,0.9697823448799839
0.6,1e-06,4627,0.00016265624999999999,1721872,430468,1.0000603848751795,0.9999396187709333
0.6,3e-06,4627,0.0004879687499999999,1721868,430467,1.0001811655638777,0.9998188672511389
0.6,1e-05,4627,0.0016265624999999995,1721868,430467,1.0006040128268638,0.9993963517844013
0.6,3e-05,4627,0.0048796874999999995,1721868,430467,1.0018131323131905,0.9981901491858031
0.6,0.0001,4627,0.016265625,1721840,430460,1.006056535611057,0.9939799251864326
0.6,0.0003,4627,0.04879687499999999,1721588,430397,1.0182789772630945,0.9820491459892216
0.6,0.001,4627,0.16265625,1718752,429688,1.0622044498700969,0.9414383456238539
0.7,1e-06,4613,0.0003476047673971549,1716660,429165,1.000129050012183,0.9998709666395738
0.7,3e-06,4613,0.0010428143021914648,1716660,429165,1.0003871999918166,0.9996129498739889
0.7,1e-05,4613,0.00347604767397155,1716656,429164,1.00129124945054,0.9987104157244473
0.7,3e-05,4613,0.010428143021914646,1716648,429162,1.0038787438516263,0.9961362426733484
0.7,0.0001,4613,0.034760476739715496,1716516,429129,1.012987423948761,0.9871790866878344
0.7,0.0003,4613,0.10428143021914646,1715376,428844,1.0394615544107433,0.9620365426279635
0.7,0.001,4613,0.3476047673971549,1702772,425693,1.1373331901884767,0.879249817579211
0.8,1e-06,4606,0.0009096296296296299,1714052,428513,1.0003377397865523,0.9996623742430989
0.8,3e-06,4606,0.00272888888888889,1714052,428513,1.0010135614484927,0.9989874648181328
0.8,1e-05,4606,0.009096296296296299,1714044,428511,1.003382529183729,0.9966288737491963
0.8,3e-05,4606,0.0272888888888889,1713964,428491,1.0101817951797816,0.989920828876183
0.8,0.0001,4606,0.09096296296296298,1713080,428270,1.034338263002346,0.9668017086570176
0.8,0.0003,4606,0.27288888888888896,1705412,426353,1.1064230677911633,0.9038134047551778
0.8,0.001,4606,0.9096296296296298,1632536,408134,1.3931588038187916,0.7177932603655068
0.9,1e-06,4602,0.004129529085872575,1712564,428141,1.0015341845186694,0.9984681655979555
0.9,3e-06,4602,0.012388587257617727,1712548,428137,1.0046096038561754,0.9954115470940336
0.9,1e-05,4602,0.041295290858725756,1712364,428091,1.0154475936008396,0.9847874043937
0.9,3e-05,4602,0.12388587257617727,1710760,427690,1.0470472782945348,0.955066710673116
0.9,0.0001,4602,0.41295290858725764,1693236,423309,1.1649832973967567,0.8583814053253603
0.9,0.0003,4602,1.2388587257617727,1580176,395044,1.5605892696119805,0.6407835933977918
0.9,0.001,4602,4.1295290858725755,1312896,328224,3.3633422185034334,0.297323297789472
1.0,1e-06,4602,0.004129529085872575,1712564,428141,1.0015341845186694,0.9984681655979555
1.0,3e-06,4602,0.012388587257617727,1712548,428137,1.0046096038561754,0.9954115470940336
1.0,1e-05,4602,0.041295290858725756,1712364,428091,1.0154475936008396,0.9847874043937
1.0,3e-05,4602,0.12388587257617727,1710760,427690,1.0470472782945348,0.955066710673116
1.0,0.0001,4602,0.41295290858725764,1693236,423309,1.1649832973967567,0.8583814053253603
1.0,0.0003,4602,1.2388587257617727,1580176,395044,1.5605892696119805,0.6407835933977918
1.0,0.001,4602,4.1295290858725755,1312896,328224,3.3633422185034334,0.297323297789472
1/0.9,1e-06,4602,0.004129529085872571,1712564,428141,1.0015341845186694,0.9984681655979555
1/0.9,3e-06,4602,0.012388587257617715,1712548,428137,1.0046096038561754,0.9954115470940336
1/0.9,1e-05,4602,0.041295290858725714,1712364,428091,1.0154475936008396,0.9847874043937
1/0.9,3e-05,4602,0.12388587257617716,1710760,427690,1.0470472782945348,0.9550667106731161
1/0.9,0.0001,4602,0.4129529085872572,1693236,423309,1.1649832973967564,0.8583814053253604
1/0.9,0.0003,4602,1.2388587257617711,1580176,395044,1.5605892696119796,0.6407835933977921
1/0.9,0.001,4602,4.129529085872571,1312896,328224,3.3633422185034307,0.2973232977894724
1/0.8,1e-06,4606,0.0009096296296296299,1714052,428513,1.0003377397865523,0.9996623742430989
1/0.8,3e-06,4606,0.0027288888888888896,1714052,428513,1.0010135614484927,0.9989874648181328
