s1,s2,alpha,pixels,ang_width,num_r,num_theta,y_plus,y_minus,min_source_radius,max_source_radius
0.2,1/0.2,180,5000,0.2,1857948,464487,1.0769985822006392,0.9283566925328665,8.680555555555556e-06,0.0008680555555555555
0.6,0.2,0,5000,0.2,1871448,467862,1.0769986657270052,0.9285062613208713,0.00017578125,0.017578125
0.6,0.2,45,5000,0.2,1871448,467862,1.0769986657270052,0.9285062613208713,0.00017578125,0.017578125
0.6,0.2,90,5000,0.2,1871448,467862,1.0769986657270052,0.9285062613208713,0.00017578125,0.017578125
0.6,0.2,135,5000,0.2,1871448,467862,1.0769986657270052,0.9285062613208713,0.00017578125,0.017578125
0.6,0.2,180,5000,0.2,1871448,467862,1.0769986657270052,0.9285062613208713,0.00017578125,0.017578125
0.6,0.6,0,5000,0.2,1871448,467862,1.076998541722714,0.9285064894022576,0.00017578125,0.017578125
0.6,0.6,45,5000,0.2,1871448,467862,1.076998541722714,0.9285064894022576,0.00017578125,0.017578125
0.6,0.6,90,5000,0.2,1871448,467862,1.076998541722714,0.9285064894022576,0.00017578125,0.017578125
0.6,0.6,135,5000,0.2,1871448,467862,1.076998541722714,0.9285064894022576,0.00017578125,0.017578125
0.6,0.6,180,5000,0.2,1871448,467862,1.076998541722714,0.9285064894022576,0.00017578125,0.017578125
0.6,1.0,0,5000,0.2,1871448,467862,1.076998541722714,0.9285064894022576,0.00017578125,0.017578125
0.6,1.0,45,5000,0.2,1871448,467862,1.076998541722714,0.9285064894022576,0.00017578125,0.017578125
0.6,1.0,90,5000,0.2,1871448,467862,1.076998541722714,0.9285064894022576,0.00017578125,0.017578125
0.6,1.0,135,5000,0.2,1871448,467862,1.076998541722714,0.9285064894022576,0.00017578125,0.017578125
0.6,1.0,180,5000,0.2,1871448,467862,1.076998541722714,0.9285064894022576,0.00017578125,0.017578125
0.6,1/0.6,0,5000,0.2,1872312,468078,1.076997207906155,0.9283566312627378,0.00017578125,0.017578125
0.6,1/0.6,45,5000,0.2,1872312,468078,1.076997207906155,0.9283566312627378,0.00017578125,0.017578125
0.6,1/0.6,90,5000,0.2,1872312,468078,1.076997207906155,0.9283566312627378,0.00017578125,0.017578125
0.6,1/0.6,135,5000,0.2,1872312,468078,1.076997207906155,0.9283566312627378,0.00017578125,0.017578125
0.6,1/0.6,180,5000,0.2,1872312,468078,1.076997207906155,0.9283566312627378,0.00017578125,0.017578125
0.6,1/0.2,0,5000,0.2,1872312,468078,1.076997207906155,0.9283566925328665,0.00017578125,0.017578125
0.6,1/0.2,45,5000,0.2,1872312,468078,1.076997207906155,0.9283566925328665,0.00017578125,0.017578125
0.6,1/0.2,90,5000,0.2,1872312,468078,1.076997207906155,0.9283566925328665,0.00017578125,0.017578125
0.6,1/0.2,135,5000,0.2,1872312,468078,1.076997207906155,0.9283566925328665,0.00017578125,0.017578125
0.6,1/0.2,180,5000,0.2,1872312,468078,1.076997207906155,0.9283566925328665,0.00017578125,0.017578125
1.0,0.2,0,5000,0.2,1872312,468078,1.076997207906155,0.9283566925328665,0.00017578125,0.017578125
1.0,0.2,45,5000,0.2,1872312,468078,1.076997207906155,0.9283566925328665,0.00017578125,0.017578125
1.0,0.2,90,5000,0.2,1872312,468078,1.076997207906155,0.9283566925328665,0.00017578125,0.017578125
1.0,0.2,135,5000,0.2,1872312,468078,1.076997207906155,0.9283566925328665,0.00017578125,0.017578125
1.0,0.2,180,5000,0.2,1872312,468078,1.076997207906155,0.9283566925328665,0.00017578125,0.017578125
1.0,0.6,0,5000,0.2,1872312,468078,1.076997207906155,0.9283566925328665,0.00017578125,0.017578125
1.0,0.6,45,5000,0.2,1872312,468078,1.076997207906155,0.9283566925328665,0.00017578125,0.017578125
1.0,0.6,90,5000,0.2,1872312,468078,1.076997207906155,0.9283566925328665,0.00017578125,0.017578125
1.0,0.6,135,5000,0.2,1872312,468078,1.076997207906155,0.9283566925328665,0.00017578125,0.017578125
1.0,0.6,180,5000,0.2,1872312,468078,1.076997207906155,0.9283566925328665,0.00017578125,0.017578125
1.0,1.0,0,5000,0.2,1872312,468078,1.076997207906155,0.9283566925328665,0.00017578125,0.017578125
1.0,1.0,45,5000,0.2,1872312,468078,1.076997207906155,0.9283566925328665,0.00017578125,0.017578125
1.0,1.0,90,5000,0.2,1872312,468078,1.076997207906155,0.9283566925328665,0.00017578125,0.017578125
1.0,1.0,135,5000,0.2,1872312,468078,1.076997207906155,0.9283566925328665,0.00017578125,0.017578125
1.0,1.0,180,5000,0.2,1872312,468078,1.076997207906155,0.9283566925328665,0.00017578125,0.017578125
1.0,1/0.6,0,5000,0.2,1872312,468078,1.076997207906155,0.9283566925328665,0.00017578125,0.017578125
1.0,1/0.6,45,5000,0.2,1872312,468078,1.076997207906155,0.9283566925328665,0.00017578125,0.017578125
1.0,1/0.6,90,5000,0.2,1872312,468078,1.076997207906155,0.9283566925328665,0.00017578125,0.017578125
1.0,1/0.6,135,5000,0.2,1872312,468078,1.076997207906155,0.9283566925328665,0.00017578125,0.017578125
1.0,1/0.6,180,5000,0.2,1872312,468078,1.076997207906155,0.9283566925328665,0.00017578125,0.017578125
1.0,1/0.2,0,5000,0.2,1872312,468078,1.076997207906155,0.9283566925328665,0.00017578125,0.017578125
1.0,1/0.2,45,5000,0.2,1872312,468078,1.076997207906155,0.9283566925328665,0.00017578125,0.017578125
1.0,1/0.2,90,5000,0.2,1872312,468078,1.076997207906155,0.9283566925328665,0.00017578125,0.017578125
1.0,1/0.2,135,5000,0.2,1872312,468078,1.076997207906155,0.9283566925328665,0.00017578125,0.017578125
1.0,1/0.2,180,5000,0.2,1872312,468078,1.076997207906155,0.9283566925328665,0.00017578125,0.017578125
1/0.6,0.2,0,5000,0.2,1868520,467130,1.0769986657270052,0.9280072865344152,0.00017578124999999997,0.017578124999999997
1/0.6,0.2,45,5000,0.2,1868520,467130,1.0769986657270052,0.9280072865344152,0.00017578124999999997,0.017578124999999997
1/0.6,0.2,90,5000,0.2,1868520,467130,1.0769986657270052,0.9280072865344152,0.00017578124999999997,0.017578124999999997
