s,q,pixels,ang_width,num_r,num_theta,y_plus,y_minus
0.7,3e-06,4613,0.0010428143021914648,1729776,432444,1.0003871931356483,0.9996129567591506
0.7,1e-05,4613,0.00347604767397155,1729836,432459,1.0012912267100393,0.9987104387872062
0.7,3e-05,4613,0.010428143021914646,1729996,432499,1.003878676587095,0.9961363128379592
0.7,0.0001,4613,0.034760476739715496,1730500,432625,1.0129872104086244,0.9871793324878282
0.7,0.0003,4613,0.10428143021914646,1731408,432852,1.0394609942159536,0.962037397707247
0.7,0.001,4613,0.3476047673971549,1730504,432626,1.1373319653319276,0.8792550768510348
0.8,1e-06,4606,0.0009096296296296299,1726704,431676,1.0003377376357676,0.9996623764063738
0.8,3e-06,4606,0.00272888888888889,1726776,431694,1.0010135550334474,0.9989874713455189
0.8,1e-05,4606,0.009096296296296299,1727024,431756,1.0033825082273455,0.9966288959540008
0.8,3e-05,4606,0.0272888888888889,1727732,431933,1.010181735766512,0.9899208995562739
0.8,0.0001,4606,0.09096296296296298,1730204,432551,1.0343380986243906,0.9668020028946003
0.8,0.0003,4606,0.27288888888888896,1742776,435694,1.106422755366064,0.9038154108062084
0.8,0.001,4606,0.9096296296296298,1665520,416380,1.3931584729652877,0.7173141899201332
0.9,1e-06,4602,0.004129529085872575,1725296,431324,1.0015341825704862,0.9984681676586563
0.9,3e-06,4602,0.012388587257617727,1726040,431510,1.0046095983225831,0.9954115536433077
0.9,1e-05,4602,0.041295290858725756,1729128,432282,1.0154475781914516,0.9847874315107638
0.9,3e-05,4602,0.12388587257617727,1747412,436853,1.047047248418749,0.9550668920310983
0.9,0.0001,4602,0.41295290858725764,1743348,435837,1.1649832621694953,0.8583311720459664
0.9,0.0003,4602,1.2388587257617727,1581092,395273,1.560589248905818,0.640647318762409
0.9,0.001,4602,4.1295290858725755,1312932,328233,3.363342215191262,0.297050380544868
1.0,1e-06,4602,0.004129529085872575,1725296,431324,1.0015341825704862,0.9984681676586563
1.0,3e-06,4602,0.012388587257617727,1726040,431510,1.0046095983225831,0.9954115536433077
1.0,1e-05,4602,0.041295290858725756,1729128,432282,1.0154475781914516,0.9847874315107638
1.0,3e-05,4602,0.12388587257617727,1747412,436853,1.047047248418749,0.9550668920310983
1.0,0.0001,4602,0.41295290858725764,1743348,435837,1.1649832621694953,0.8583311720459664
1.0,0.0003,4602,1.2388587257617727,1581092,395273,1.560589248905818,0.640647318762409
1.0,0.001,4602,4.1295290858725755,1312932,328233,3.363342215191262,0.297050380544868
1/0.9,1e-06,4602,0.004129529085872571,1724596,431149,1.0015336862270217,0.998467663992835
1/0.9,3e-06,4602,0.012388587257617715,1723928,430982,1.0046081093291466,0.995410042574085
1/0.9,1e-05,4602,0.041295290858725714,1721844,430461,1.0154426172120767,0.9847823925955531
1/0.9,3e-05,4602,0.12388587257617716,1716816,429204,1.0470324565752318,0.955051703892826
1/0.9,0.0001,4602,0.4129529085872572,1700288,425072,1.16498239357422,0.8583319632780643
1/0.9,0.0003,4602,1.2388587257617711,1580620,395155,1.5605892159445411,0.6406473387256697
1/0.9,0.001,4602,4.129529085872571,1312928,328232,3.3633422131075847,0.2970503789358658
1/0.8,1e-06,4606,0.0009096296296296299,1726640,431660,1.0003372412908988,0.9996618727495454
